,artist,genre
310,Eric Bellinger,"['dance pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'trap', 'urban contemporary']"
311,Playboi Carti,"['atl hip hop', 'hip hop', 'rap', 'trap', 'underground hip hop']"
312,Roy Woods,"['canadian contemporary r&b', 'canadian hip hop', 'pop rap', 'trap', 'trap soul', 'underground hip hop']"
313,Bobby Shmurda,"['nyc rap', 'trap']"
314,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
315,Jeremih,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
316,Ugly God,"['meme rap', 'trap', 'underground hip hop', 'vapor trap']"
317,Tyga,"['dance pop', 'hip hop', 'pop rap', 'rap', 'trap']"
318,MadeinTYO,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']"
319,ElGrandeToto,"['arabic hip hop', 'moroccan pop', 'rap maroc']"
320,Megan Thee Stallion,"['houston rap', 'pop', 'pop rap', 'trap queen']"
321,Young M.A,"['lgbtq+ hip hop', 'nyc rap', 'pop rap', 'rap', 'trap']"
322,Phora,"['deep underground hip hop', 'oc rap', 'pop r&b']"
323,Madd,"['contemporary country', 'country']"
324,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
325,"Tyler, The Creator","['hip hop', 'rap']"
326,Naar,[]
327,Chance the Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
328,L.A. Leakers,[]
329,Dreezy,"['chicago rap', 'drill', 'hip pop', 'pop r&b', 'trap queen']"
